City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,ulaangom,MN,49.9811,92.0667,22.77,61,0,2.35,clear sky
237,andenes,NO,69.3143,16.1194,44.92,93,100,4.61,light rain
238,nushki,PK,29.5542,66.0215,68.27,21,0,2.13,clear sky
239,hangu,CN,39.2489,117.7892,66.24,86,100,10.29,light rain
240,uglekamensk,RU,43.2172,133.2303,60.67,90,99,3.69,overcast clouds
241,port blair,IN,11.6667,92.75,78.84,89,40,2.3,mist
242,jalu,LY,29.0331,21.5482,76.93,43,0,15.93,clear sky
243,malartic,CA,48.1335,-78.1328,37.51,89,57,1.07,broken clouds
244,palu,ID,-0.8917,119.8707,79.92,87,100,1.57,overcast clouds
245,ulladulla,AU,-35.35,150.4667,60.13,59,11,4.99,few clouds
246,upernavik,GL,72.7868,-56.1549,20.8,87,19,9.42,few clouds
247,lermontovka,RU,47.1453,134.3383,60.82,82,94,12.24,overcast clouds
248,komsomolskiy,UZ,40.4272,71.7189,54.32,58,6,6.91,clear sky
249,san pedro,PH,14.35,121.0167,79.83,92,100,8.05,heavy intensity rain
250,santa cruz,BO,-17.8,-63.1667,76.46,65,86,4.61,overcast clouds
251,zhezkazgan,KZ,47.8043,67.7144,28.38,50,0,13.42,clear sky
252,diplo,PK,24.4667,69.584,78.64,71,0,9.33,clear sky
253,hofn,IS,64.2539,-15.2082,45.9,75,99,0.98,overcast clouds
254,hithadhoo,MV,-0.6,73.0833,81.39,68,72,14.61,broken clouds
255,masvingo,ZW,-20.0637,30.8277,65.73,35,0,5.12,clear sky
256,beyneu,KZ,45.3167,55.2,51.31,44,0,12.39,clear sky
257,kuala terengganu,MY,5.3302,103.1408,75.15,94,40,4.61,scattered clouds
258,puri,IN,19.8,85.85,81.12,86,100,10.36,overcast clouds
259,usak,TR,38.5,29.4167,54.05,63,0,9.37,clear sky
260,tasiilaq,GL,65.6145,-37.6368,39.36,98,100,18.3,light rain
261,alofi,NU,-19.0595,-169.9187,80.49,61,50,14.97,scattered clouds
262,port hardy,CA,50.6996,-127.4199,55.58,88,20,3.44,few clouds
263,chhatak,BD,25.0333,91.6667,76.68,95,100,4.92,overcast clouds
264,longyearbyen,SJ,78.2186,15.6401,35.44,100,75,2.3,light intensity drizzle rain
265,coahuayana,MX,18.7333,-103.6833,76.01,97,99,1.43,overcast clouds
266,ucluelet,CA,48.9329,-125.5528,68.09,72,59,2.46,broken clouds
267,isangel,VU,-19.55,169.2667,80.71,89,75,8.05,broken clouds
268,bereda,ES,43.2686,-7.5406,59.58,100,100,2.75,overcast clouds
269,huarmey,PE,-10.0681,-78.1522,63.84,83,38,9.46,scattered clouds
270,half moon bay,US,37.4636,-122.4286,75.15,66,0,12.66,clear sky
271,camacha,PT,33.0833,-16.3333,65.62,77,20,5.75,few clouds
272,holme,DK,56.1138,10.1725,51.37,88,17,17.07,few clouds
273,novi bilokorovychi,UA,51.1155,28.0546,48.24,90,100,18.63,light rain
274,surat thani,TH,9.1667,99.25,80.22,100,40,0.0,very heavy rain
275,atherton,GB,53.5237,-2.4935,52.43,92,53,1.7,broken clouds
276,roebourne,AU,-20.7833,117.1333,76.21,51,12,16.69,few clouds
277,aklavik,CA,68.2191,-135.0107,29.5,92,99,4.79,light snow
278,kita,ML,13.0349,-9.4895,73.42,89,61,2.44,broken clouds
279,prince rupert,CA,54.3161,-130.3201,55.49,88,100,4.61,overcast clouds
280,seoul,KR,37.5683,126.9778,71.17,100,100,4.61,light rain
281,tateyama,JP,34.9833,139.8667,78.1,66,72,7.45,broken clouds
282,shelburne,CA,44.0787,-80.2041,45.23,70,0,5.75,clear sky
283,port-cartier,CA,50.0334,-66.8654,42.48,56,21,5.53,few clouds
284,bambous virieux,MU,-20.3428,57.7575,70.05,78,40,14.97,scattered clouds
285,sabha,LY,27.0377,14.4283,78.98,52,0,17.58,clear sky
286,kualakapuas,ID,-3.0091,114.3876,79.32,87,99,2.21,overcast clouds
287,tosham,IN,28.8833,75.9167,79.32,45,0,3.94,clear sky
288,xining,CN,36.6167,101.7667,42.37,61,100,2.66,overcast clouds
289,myitkyina,MM,25.3833,97.4,74.7,100,100,0.81,overcast clouds
290,yulara,AU,-25.2406,130.9889,75.74,45,21,16.78,few clouds
291,ravar,IR,31.2656,56.8055,67.71,30,0,2.91,clear sky
292,mount isa,AU,-20.7333,139.5,87.57,19,100,11.5,overcast clouds
293,pedasi,PA,7.5333,-80.0333,77.07,84,30,3.87,scattered clouds
294,wanaka,NZ,-44.7,169.15,47.44,84,87,0.65,overcast clouds
295,praia da vitoria,PT,38.7333,-27.0667,71.76,100,75,15.3,light intensity shower rain
296,matara,LK,5.9485,80.5353,78.57,83,96,17.65,overcast clouds
297,bihariganj,IN,25.7333,86.9833,78.64,91,93,5.37,overcast clouds
298,lamar,US,33.6668,-95.5836,78.37,35,0,5.75,clear sky
299,bayshore gardens,US,27.4253,-82.5904,75.97,69,0,6.91,clear sky
300,sola,VU,-13.8833,167.55,86.67,70,40,9.22,scattered clouds
301,solnechnyy,RU,50.7214,136.6319,46.27,97,100,3.58,light rain
302,katangli,RU,51.7102,143.2326,49.21,97,100,1.97,light rain
303,strezhevoy,RU,60.7333,77.5889,27.54,81,48,8.48,scattered clouds
304,nanning,CN,22.8167,108.3167,77.43,90,4,4.23,clear sky
305,walvis bay,NA,-22.9575,14.5053,55.09,88,0,8.68,clear sky
306,cherskiy,RU,68.75,161.3,28.56,88,100,12.44,overcast clouds
307,ajaccio,FR,42.0,8.9167,59.05,82,0,6.91,clear sky
308,denzlingen,DE,48.0667,7.8833,56.21,94,99,5.21,overcast clouds
309,airai,TL,-8.9266,125.4092,68.63,73,93,1.03,overcast clouds
310,taksimo,RU,56.3444,114.8794,26.22,61,97,4.36,overcast clouds
311,chingirlau,KZ,51.095,54.0814,52.7,30,93,14.99,overcast clouds
312,bowen,AU,-20.0167,148.2333,77.68,69,52,12.97,broken clouds
313,calabozo,VE,8.9242,-67.4293,76.21,90,30,0.94,scattered clouds
314,karakol,KG,42.4907,78.3936,44.71,46,10,4.09,clear sky
315,gunjur,GM,13.2019,-16.7339,78.87,94,40,3.44,thunderstorm
316,vestmannaeyjar,IS,63.4427,-20.2734,50.85,95,100,20.18,overcast clouds
317,addanki,IN,15.8167,79.9833,76.98,75,93,6.67,overcast clouds
318,beloha,MG,-25.1667,45.05,66.11,75,0,3.91,clear sky
319,diego de almagro,CL,-26.3667,-70.05,62.53,31,0,1.66,clear sky
320,pacific grove,US,36.6177,-121.9166,72.21,71,20,10.36,smoke
321,salto,UY,-31.3833,-57.9667,64.87,64,0,1.01,clear sky
322,fare,PF,-16.7,-151.0167,78.84,71,53,12.68,broken clouds
323,kuching,MY,1.55,110.3333,75.42,100,40,3.44,scattered clouds
324,oistins,BB,13.0667,-59.5333,78.89,94,40,10.36,scattered clouds
325,quatre cocos,MU,-20.2078,57.7625,69.91,69,36,12.8,scattered clouds
326,balikpapan,ID,-1.2675,116.8289,77.99,94,75,4.61,broken clouds
327,lakes entrance,AU,-37.8811,147.981,60.17,55,83,3.13,broken clouds
328,banska bystrica,SK,48.5,19.5,52.56,74,100,11.25,overcast clouds
329,paamiut,GL,61.994,-49.6678,36.12,70,32,9.37,scattered clouds
330,pilar,BR,-9.5972,-35.9567,73.33,87,4,4.41,clear sky
331,sibu,MY,2.3,111.8167,77.31,94,40,4.61,scattered clouds
332,hoshcha,UA,50.6003,26.6744,49.17,83,92,17.09,overcast clouds
333,santa,PH,17.486,120.4348,83.01,62,24,4.45,few clouds
334,sao felix do xingu,BR,-6.6447,-51.995,80.26,48,87,2.53,overcast clouds
335,tura,IN,25.5198,90.2201,72.63,97,100,2.95,heavy intensity rain
336,salamiyah,SY,35.0113,37.0532,70.79,66,30,8.57,scattered clouds
337,ganzhou,CN,28.8184,115.4327,86.61,53,0,4.97,clear sky
338,tres marias,MX,19.0522,-99.2431,68.49,81,75,2.75,broken clouds
339,geraldton,AU,-28.7667,114.6,61.21,67,66,13.8,broken clouds
340,qianan,CN,44.9932,124.0581,41.97,90,100,15.75,overcast clouds
341,san quintin,MX,30.4833,-115.95,70.02,72,27,13.51,scattered clouds
342,bacolod,PH,10.6667,122.95,82.54,76,88,1.72,overcast clouds
343,tezu,IN,27.9167,96.1667,76.78,78,99,2.82,overcast clouds
344,tuljapur,IN,18.0,76.0833,71.26,79,50,9.8,scattered clouds
345,brae,GB,60.3964,-1.353,53.55,91,70,16.98,broken clouds
346,taoudenni,ML,22.6783,-3.9836,93.18,24,32,7.65,scattered clouds
347,sauda,NO,59.6506,6.3542,52.68,93,66,2.57,broken clouds
348,abu zabad,SD,12.35,29.25,78.49,60,0,8.59,clear sky
349,boda,CF,4.3189,17.4695,68.83,96,99,1.77,overcast clouds
350,comodoro rivadavia,AR,-45.8667,-67.5,49.86,71,0,18.41,clear sky
351,salym,RU,60.0625,71.4789,33.55,72,97,10.36,overcast clouds
352,corn island,NI,12.1694,-83.0418,82.44,76,100,12.41,overcast clouds
353,forestville,US,38.8451,-76.875,54.68,92,100,17.27,overcast clouds
354,kanodar,IN,24.1,72.3833,74.95,74,0,6.17,clear sky
355,yicheng,CN,31.3705,119.8703,82.87,69,3,6.62,clear sky
356,akyab,MM,20.15,92.9,78.76,90,100,12.03,overcast clouds
357,south sioux city,US,42.4739,-96.4136,73.8,32,0,11.5,clear sky
358,inta,RU,66.0317,60.1659,39.6,94,100,5.41,light rain
