City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,gigmoto,PH,83.39,overcast clouds,13.7796,124.39,Cj's Travellers Inn
553,caririacu,BR,84.29,clear sky,-7.0422,-39.2836,Pousada Serrana
556,nabire,ID,83.88,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
558,atambua,ID,80.08,overcast clouds,-9.1061,124.8925,Ros Muskanan
564,morant bay,JM,82.02,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
565,davila,PH,82.38,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
569,chenzhou,CN,82.13,clear sky,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
574,zhicheng,CN,85.01,clear sky,30.2956,111.5047,Wangjiang Building
575,namatanai,PG,85.84,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
579,mangrol,IN,79.11,few clouds,21.1167,70.1167,Hotel The Royal Honours
585,sembakung,ID,79.0,overcast clouds,3.8167,117.25,
586,paragominas,BR,80.51,overcast clouds,-2.9667,-47.4833,INOVA
589,alice springs,AU,77.22,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
592,camargo,MX,81.19,broken clouds,27.6667,-105.1667,Hotel Santa Fe
598,labuhan,ID,80.28,overcast clouds,-6.8844,112.2051,DoubleFAG
607,cam ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
612,laguna,US,86.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
617,agadez,NE,86.68,clear sky,19.75,10.25,
619,oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
620,nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
621,saint-georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
622,nanakuli,US,80.55,light intensity drizzle,21.3906,-158.1547,Camp Pālehua
624,port hedland,AU,78.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
630,auki,SB,86.68,scattered clouds,-8.7676,160.7034,Auki Motel
632,aswan,EG,84.85,clear sky,24.0934,32.907,Nuba Nile
637,hirara,JP,84.06,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
638,susanville,US,78.64,clear sky,40.4163,-120.653,Comfort Inn & Suites
644,kieta,PG,85.62,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
651,dabhoi,IN,80.53,few clouds,22.1833,73.4333,Sindhiyapura
665,sao filipe,CV,78.06,broken clouds,14.8961,-24.4956,Hotel Xaguate
666,beaumont,US,78.78,clear sky,30.0861,-94.1019,Super 8 by Wyndham Beaumont
675,tambilil,PH,84.09,overcast clouds,5.9622,124.6697,San Jose Beach Resort
686,bubaque,GW,81.01,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
687,sur,OM,79.16,clear sky,22.5667,59.5289,Sur Plaza Hotel
692,kandrian,PG,85.8,scattered clouds,-6.2167,149.55,Kandrian Station
693,santa rosa,PH,80.58,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
697,valenca do piaui,BR,78.51,few clouds,-6.4075,-41.7456,GN Hotel
